longitude,latitude,temperature
-53.80,42.70,19.50
-53.50,42.30,20.50
-53.30,42.10,20.70
-53.60,41.70,22.30
-54.80,42.20,22.90
-54.00,41.80,21.00
-55.10,42.00,21.30
-54.30,42.50,22.00
-54.40,42.00,21.40
-55.90,42.20,20.40
-55.80,41.80,19.40
-55.90,42.20,18.40
-56.00,42.20,17.00
-61.00,34.70,19.80
-60.90,35.20,18.70
-61.00,35.00,18.40
-61.60,35.00,18.20
-61.40,35.70,18.20
-61.20,36.50,18.20
-60.90,36.90,18.20
-60.50,36.60,18.50
-59.70,35.20,18.30
-60.90,34.30,18.90
-62.10,34.30,20.50
-62.70,34.60,20.20
-40.70,53.30,5.27
-40.50,53.20,5.10
-40.20,52.70,5.24
-39.70,52.30,5.35
-39.30,52.10,5.35
-38.70,51.90,8.11
-38.60,52.00,7.74
-38.80,52.10,7.91
-38.80,52.10,8.14
-38.50,52.10,8.02
-37.80,52.00,9.01
-37.20,51.90,9.36
-36.70,51.80,9.26
-36.30,51.80,10.90
-36.30,51.80,11.30
-36.50,51.80,13.00
-36.50,52.00,11.70
-36.20,52.10,11.90
-35.70,52.10,12.60
-33.30,52.60,14.30
-31.80,52.90,13.90
-32.60,53.00,14.10
-32.60,53.10,12.20
-32.30,53.40,11.60
-32.20,53.50,10.60
-32.40,53.80,10.30
-32.30,54.50,10.10
-33.30,54.70,9.44
-33.50,54.90,8.42
-33.30,55.20,7.59
-32.80,55.30,7.74
-54.20,59.60,3.56
-54.20,59.00,3.81
-52.80,58.90,3.80
-52.10,58.70,4.18
-52.00,59.00,4.07
-51.90,58.50,3.84
-52.50,57.80,3.81
-50.90,58.60,3.79
-50.80,58.10,3.84
-50.60,57.50,3.94
-50.90,57.10,4.13
-52.40,56.50,4.03
-52.10,56.70,3.82
-52.80,56.60,4.70
-53.50,57.20,6.21
-52.30,58.20,6.06
-52.30,57.40,8.06
-52.20,57.60,8.34
-51.70,57.90,8.87
-52.20,58.40,9.86
-52.30,58.70,8.91
-52.80,59.30,8.91
-52.60,58.80,8.52
-53.30,59.40,7.19
-55.10,59.50,6.49
-54.30,59.40,5.98
-52.60,59.50,5.51
-52.50,59.40,5.30
-52.10,59.80,4.93
-51.40,59.90,4.67
-51.30,59.70,4.59
-50.50,59.90,3.76
-50.20,59.70,2.46
-49.70,59.60,2.88
-41.60,47.00,7.43
-30.60,49.70,12.00
-20.50,51.30,14.70
-20.60,50.10,16.00
-22.60,49.90,16.90
-22.40,47.80,12.60
-17.80,56.20,13.20
-17.20,55.90,14.30
